@sxtvik,2021-08-02T23:51:49.000Z,2,6,6
@DuncanRogoff,2021-08-02T23:32:36.000Z,49,37,423
@cryptofrog202,2021-08-02T23:26:30.000Z,4,4,16
@TheGrabatars,2021-08-02T22:35:22.000Z,2,3,7
@8thproject1,2021-08-02T22:16:36.000Z,5,4,31
@boredapeyachtex,2021-08-02T20:42:28.000Z,0,2,10
@dearearth_,2021-08-02T20:41:28.000Z,0,1,4
@earlywormart1,2021-08-02T20:36:25.000Z,5,2,25
@timeless811,2021-08-02T20:32:52.000Z,21,15,108
@WARHODL,2021-08-02T20:32:08.000Z,1,4,14
@nashty_SunsFan,2021-08-02T20:28:38.000Z,5,5,51
@mfigge,2021-08-02T19:48:23.000Z,75,160,716
@csmithSEC,2021-08-02T19:28:43.000Z,12,0,55
@mrmiracle1984,2021-08-02T19:24:04.000Z,1,6,30
@CryptoDiamonds,2021-08-02T19:20:49.000Z,20,40,207
@KevinF_WGMI,2021-08-02T18:40:44.000Z,1,1,10
@yayoiDOTSORA,2021-08-02T18:36:22.000Z,2,5,19
@jeffscottward,2021-08-02T18:34:49.000Z,3,0,11
@nftbhai,2021-08-02T18:31:13.000Z,0,2,7
@ProfFredrickDMA,2021-08-02T18:08:36.000Z,8,8,27
@TimpersHD,2021-08-02T18:01:55.000Z,89,183,942
@MoPeet1,2021-08-02T17:48:13.000Z,4,2,20
@ohDotss,2021-08-02T17:45:07.000Z,465,432,513
@K3n_eth,2021-08-02T17:14:12.000Z,2,0,13
@phaaz,2021-08-02T16:56:20.000Z,36,12,183
@ThedankestpepeE,2021-08-02T16:54:41.000Z,2,6,7
@0n1Force,2021-08-02T15:12:11.000Z,4,13,53
@trueIMCMPLX,2021-08-02T15:05:49.000Z,12,28,126
@Tom_Laroc,2021-08-02T15:01:22.000Z,2,3,9
@yayoiDOTSORA,2021-08-02T14:59:01.000Z,2,2,8
@bignftguy12,2021-08-02T14:58:20.000Z,0,1,7
@GarrettGroce,2021-08-02T14:55:01.000Z,68,19,293
@dearearth_,2021-08-02T14:45:15.000Z,2,1,4
@MajorShankEm,2021-08-02T14:32:25.000Z,5,1,32
@jessew_art,2021-08-02T14:30:24.000Z,10,12,42
@davidfano,2021-08-02T14:24:51.000Z,3,0,5
@fancyrats_eth,2021-08-02T14:18:21.000Z,1,0,5
@PIPSLLC1,2021-08-02T14:09:41.000Z,3,2,24
@PIPSLLC1,2021-08-02T14:07:54.000Z,0,2,4
@0x_b1,2021-08-02T13:47:15.000Z,0,19,51
@dearearth_,2021-08-02T13:41:11.000Z,1,1,5
@ohhshiny,2021-08-02T13:39:52.000Z,7,7,119
@defi_airdrops,2021-08-02T13:05:40.000Z,5,7,62
@WavyAped,2021-08-02T12:50:50.000Z,16,9,59
@davidrgoldberg,2021-08-02T12:40:38.000Z,5,1,57
@kevinjlu,2021-08-02T12:37:42.000Z,1,1,8
@unchained_ninja,2021-08-02T10:19:46.000Z,2,0,7
@Thenizzar,2021-08-02T10:18:31.000Z,4,0,5
@151eth,2021-08-02T09:37:07.000Z,3,3,12
@TheeHustleHouse,2021-08-02T08:43:07.000Z,9,3,20
@TheeHustleHouse,2021-08-02T08:17:15.000Z,0,1,17
@ohDotss,2021-08-02T06:38:54.000Z,33,13,175
@reidoNFT,2021-08-02T06:34:51.000Z,7,10,73
@pokermonfacenft,2021-08-02T06:23:42.000Z,0,17,44
@_alexsm_,2021-08-02T06:12:28.000Z,0,4,17
@ChowderZo3y,2021-08-02T03:41:42.000Z,3,1,5
@MoPeet1,2021-08-02T03:23:22.000Z,0,1,3
@BAYC2745,2021-08-02T03:18:26.000Z,2,1,7
@BoredApeGazette,2021-08-02T03:09:21.000Z,0,5,11
@Thenizzar,2021-08-02T02:58:00.000Z,0,2,11
@a1ex_eth,2021-08-02T02:51:23.000Z,39,20,157
@lyrafinance,2021-08-02T02:40:03.000Z,1,1,16
@Brycesworld,2021-08-02T02:35:14.000Z,9,4,41
@doloxbt,2021-08-02T02:23:04.000Z,73,12,85
@Kn0xymoron,2021-08-02T02:21:33.000Z,5,2,21
@Tyler_Polumbus,2021-08-02T02:05:12.000Z,69,31,378
@byswickie,2021-08-02T02:04:45.000Z,2,3,31
@yayoiDOTSORA,2021-08-02T01:57:58.000Z,3,6,12
@adambrotman,2021-08-02T01:56:27.000Z,1,4,21
@TheLandvault,2021-08-02T01:50:01.000Z,3,9,35
@belikewater893,2021-08-02T01:32:33.000Z,2,0,7
@BoredApeGazette,2021-08-02T01:22:14.000Z,1,7,26
@proofofdarth,2021-08-02T01:02:57.000Z,2,3,15
@niftyq_,2021-08-02T01:01:43.000Z,0,0,5
@TCryptoCurrency,2021-08-02T00:55:13.000Z,3,4,26
@AlohaApe,2021-08-02T00:51:22.000Z,2,4,11
@elliotrades,2021-08-02T00:39:36.000Z,112,13,189
@Accumul80r,2021-08-02T00:25:05.000Z,10,53,193
@PIPSLLC1,2021-08-01T23:59:56.000Z,1,0,6
@Alphageek79,2021-08-01T23:59:47.000Z,1,2,19
@ToyBoogers,2021-08-01T23:41:03.000Z,1,2,10
@uniqueNFT,2021-08-01T23:25:30.000Z,0,0,4
@SlamDiegoZoo,2021-08-01T23:08:16.000Z,1,2,8
@Roothlus,2021-08-01T23:06:19.000Z,1,1,16
@wekuinc,2021-08-01T22:55:45.000Z,75,109,122
@0xArch,2021-08-01T22:49:04.000Z,8,7,75
@ImJarrd,2021-08-01T22:41:41.000Z,12,0,51
@sabet,2021-08-01T22:31:44.000Z,63,28,262
@ishmilly,2021-08-01T22:10:44.000Z,1,1,9
@JRArtSpace_NFT,2021-08-01T22:09:42.000Z,3,3,16
@JavierLovato127,2021-08-01T21:57:25.000Z,2,2,19
@yayoiDOTSORA,2021-08-01T21:49:00.000Z,1,4,7
@ohhshiny,2021-08-01T21:32:54.000Z,25,18,268
@franalations23,2021-08-01T21:29:59.000Z,26,12,132
@AbhiramBangaru,2021-08-01T21:27:17.000Z,0,3,14
@Schillerverse,2021-08-01T20:24:31.000Z,0,2,9
@_jeffnicholas_,2021-08-01T19:59:40.000Z,4,4,50
@NaveenSpark,2021-08-01T19:47:17.000Z,22,14,65
@franalations23,2021-08-01T19:43:25.000Z,22,9,119
@Nate_Rivers,2021-08-01T18:44:33.000Z,4,1,20
@sepsauce,2021-08-01T18:43:43.000Z,2,1,23
@Gee__Gazza,2021-08-01T18:38:05.000Z,0,1,10
@thekidmcmanus,2021-08-01T18:35:35.000Z,26,32,214
@KeithBotha2,2021-08-01T18:34:11.000Z,0,3,12
@Picassobabyape,2021-08-01T18:24:09.000Z,0,0,4
@_jeffnicholas_,2021-08-01T18:23:59.000Z,3,1,14
@Tyler_Polumbus,2021-08-01T18:19:57.000Z,125,87,497
@Gabadadi,2021-08-01T18:00:46.000Z,2,7,20
@punk3178,2021-08-01T17:52:07.000Z,3,3,54
@GabrielJWeis,2021-08-01T17:45:16.000Z,15,18,161
@0x_b1,2021-08-01T16:49:35.000Z,5,10,36
@BoredApeGazette,2021-08-01T16:48:10.000Z,0,3,7
@CryptoStorm__,2021-08-01T16:42:10.000Z,57,8,82
@RedactedWassie,2021-08-01T16:32:00.000Z,3,2,11
@NftTrader,2021-08-01T16:28:50.000Z,1,1,5
@Wine_Ace,2021-08-01T16:18:53.000Z,2,0,5
@ape5170,2021-08-01T15:48:33.000Z,0,0,6
@obcapital_eth,2021-08-01T15:47:53.000Z,24,28,224
@sandrikNFT,2021-08-01T15:34:29.000Z,1,1,10
@DanielitoG25,2021-08-01T15:12:58.000Z,0,2,37
@_octonaut,2021-08-01T15:07:27.000Z,61,26,270
@skull_nft,2021-08-01T15:02:00.000Z,6,2,23
@NFtSNiPERbOt,2021-08-01T14:56:00.000Z,5,19,37
@FuckYouBuyMe,2021-08-01T14:05:52.000Z,5,2,8
@mashiiiine,2021-08-01T14:00:16.000Z,2,7,23
@WavyAped,2021-08-01T13:53:35.000Z,0,1,7
@jmt_nft,2021-08-01T13:48:02.000Z,0,2,20
@GratefulApe_eth,2021-08-01T13:41:54.000Z,0,3,13
@weareround21,2021-08-01T13:35:56.000Z,1,4,12
@izgnzlz,2021-08-01T13:27:19.000Z,0,1,9
@Kyloren_NFT,2021-08-01T13:19:46.000Z,6,11,97
@CryptoPapi10,2021-08-01T13:16:32.000Z,1,0,4
@0xdort,2021-08-01T12:45:16.000Z,1,0,6
@cryptogal81,2021-08-01T12:22:54.000Z,3,0,10
@NFT_Sense,2021-08-01T12:14:37.000Z,1,0,4
@tomaszmro,2021-08-01T11:50:38.000Z,4,1,19
@DappRadar,2021-08-01T11:00:01.000Z,6,1,14
@miggy_az,2021-08-01T10:54:40.000Z,2,0,12
@seannana,2021-08-01T10:47:18.000Z,1,3,35
@rektmando,2021-08-01T10:27:04.000Z,1,2,25
@jastales,2021-08-01T10:16:16.000Z,2,2,9
@seannana,2021-08-01T10:16:01.000Z,30,18,225
@seannana,2021-08-01T10:03:32.000Z,0,0,6
@def_inkognito,2021-08-01T09:56:00.000Z,1,0,9
@orishake,2021-08-01T09:39:35.000Z,0,3,11
@LordTruffington,2021-08-01T09:19:07.000Z,1,1,22
@WatchThisNFT,2021-08-01T09:17:32.000Z,0,5,18
@techysparks,2021-08-01T09:14:52.000Z,7,5,81
@murderface00420,2021-08-01T08:18:51.000Z,3,2,12
@Pizza_Later,2021-08-01T08:16:17.000Z,1,10,72
@noealz,2021-08-01T08:15:20.000Z,74,32,365
@nfttank,2021-08-01T08:10:57.000Z,7,0,44
@BonnieLass88,2021-08-01T08:01:07.000Z,9,4,52
@fxnction,2021-08-01T07:59:58.000Z,8,2,24
@Gee__Gazza,2021-08-01T07:57:38.000Z,6,1,58
@ArtbyNafay,2021-08-01T07:55:54.000Z,1,0,10
@_jeffnicholas_,2021-08-01T07:46:38.000Z,2,0,20
@Memo_Mx,2021-08-01T07:26:41.000Z,2,3,13
@ctjwa,2021-08-01T07:25:37.000Z,2,4,21
@byswickie,2021-08-01T07:12:39.000Z,0,1,17
